t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
1894,28.0197490560428,0.121937590015803,4.79134767856814,0.00407534801980627,0.163173856396708,0.00370061526240556,9.21539306640625,0,0.581438360904447,5.30242876136757,0.527255155485886,5.26785026495616,0.121937590015803,0.00407534801980627,0,0.167094931986173,0.163173856396708,0.14286097464914,0.00663225107435467,1,2
1894.1,28.0340371941555,0.12190754185442,4.79742905852156,0.00377364209275821,0.165434625689575,0.00393229362664085,9.21539306640625,0,0.581534384112232,5.30231480674183,0.527094939882335,5.27029459221018,0.118012545946961,0.00117134329086925,0.000698131685193272,0.16978412748556,0.165434625689575,0.142860980199601,0.00785398142591502,1,2
1894.2,28.044877925698,0.121831540106024,4.80027015669498,0.00372286429364464,0.165434625689575,0.00413953298408449,9.2938232421875,0,0.571358270571465,5.17381934805537,0.532101303645677,5.12958752556396,0.118012546778703,0.00117134304465405,0.00139626337038654,0.170531553634798,0.165434625689575,0.13916334033295,0.0064577183156028,1,2
1894.3,28.055718661997,0.121722309865557,4.80311125386309,0.0036238374672497,0.165434624143218,0.00431924514775101,9.2938232421875,0,0.571438765287091,5.17375097896684,0.532119197083485,5.12978998734913,0.118021179482493,0.000268430476191739,0.00209439505557982,0.170531552726697,0.165434624143218,0.139163335663339,0.00575958676044669,1,2
1894.4,28.0692003475937,0.121642795933882,4.80475468185747,0.00365811069435006,0.165434624920223,0.00446855654576817,9.2938232421875,0,0.571504643492869,5.17368816140159,0.532244099855031,5.12987823481253,0.119586399638762,0.00454449032294931,0.00279252674077309,0.170531554040937,0.165434624920223,0.139163333418815,0.00680678383310653,1,2
1894.5,28.0780845878803,0.121668832651384,4.80472992287797,0.00346092874426913,0.168312255682717,0.00458494115882126,8.3526611328125,0,0.542088126822601,5.21639434935456,0.498252022701376,5.16577261991811,0.122007910360084,0.00669795738356312,0.00349065855600352,0.173963228462836,0.168312255682717,0.139163333418815,0.00680678383310653,1,2
1894.6,28.0915662784167,0.121770435418386,4.80637334979959,0.00375866537424065,0.168312255565268,0.00466626134914581,8.27423095703125,0,0.542123900660161,5.21635960098276,0.498546683783664,5.16537585994486,0.123614493894847,0.00916249190286536,0.00418879011115963,0.173963227004828,0.168312255565268,0.13916334033295,0.00575958676044669,1,2
1894.7,28.1025571795856,0.122021060508823,4.8083323459839,0.00400955113858378,0.16893711075037,0.00471092580108286,8.19580078125,0,0.532531620536222,5.04340498302213,0.510191201446251,4.9815303506418,0.126011731508223,0.00926468566486838,0.00488692192639007,0.173963226742783,0.16893711075037,0.142860973261524,0.00680678383310653,1,2
1894.8,28.1133979132228,0.122275590605323,4.81117344190478,0.00449374624410008,0.168937111750472,0.00471781845779776,8.19580078125,-0.352486695732775,0.532532883508137,5.04344317696782,0.510643467890687,4.98095545517629,0.125987262536764,0.0115544981491137,0.00558505348154618,0.17471553693411,0.168937111750472,0.139163338950123,0.00785398142591502,1,2
1894.9,28.1249370486972,0.122546123041114,4.80995506471409,0.00491326646706884,0.171813589692847,0.00468627553052142,8.19580078125,-0.577686529117603,0.532522709254676,5.04352564595877,0.511012483540539,4.98324614640812,0.126025906827727,0.0153111604512223,0.00628318555685094,0.175469502431455,0.171813589692847,0.153167405547624,0.00767944866716316,1,2
1895,28.1394048642356,0.122608440003842,4.81517774122172,0.00478287655672392,0.1746865759665,0.00461608692417761,8.19580078125,-0.607060420428668,0.502062424755279,5.11873159421987,0.472087267712644,5.04828938291321,0.123224572388256,0.00758737219262278,0.00680678383310653,0.178145398795873,0.1746865759665,0.15691206589611,0.00680678383310653,1,2
1895.1,28.1502456019019,0.122503683832801,4.81801883790445,0.00489882947261893,0.174686574306594,0.00450768942269058,8.19580078125,-0.616851717532356,0.502012503894354,5.1187750984115,0.472165294052679,5.04849557486602,0.121245522072183,0.00629146609114302,0.00733038262951078,0.178145396289946,0.174686574306594,0.156912068621186,0.00453785588873769,1,2
1895.2,28.1610863343053,0.12240313209621,4.82085993597199,0.0050101285785207,0.174686574087261,0.00436189359848871,8.19580078125,-0.616851717532356,0.521793814698726,5.17864958831159,0.484265599126806,5.12072290544932,0.121245524575811,0.00629146549667154,0.00785398142591502,0.175469499807954,0.174686574087261,0.170707686875414,0.00366519131475539,1,2
1895.3,28.1720842780544,0.122409387802546,4.82281186961348,0.00500844881577569,0.175317129860969,0.00418005888473306,8.19580078125,-0.616851717532356,0.521712648501591,5.17872445977106,0.484175242507435,5.12138909238853,0.122444095148369,0.00584812258002861,0.0082030474635674,0.176225127210404,0.175317129860969,0.170707691618764,0.00436332312998582,1,2
