t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method,u_gps_raw_midship [m/s],vm_gps_raw_midship [m/s],U_gps_raw_midship [m/s]
0,2.22295511587641,-0.00314001752816664,5.25958322169008,-0.0111683264434442,0.0361046002728418,0.000984972772995365,8,0,1.57947789087235,1.98106904865192,1.58848388619928,2.01255663488725,-0.00314001752816664,-0.0111683264434442,-0.00890117901872351,0.0361046002728418,0.0189929894607948,-0.078756805493714,0.00418879011115963,1,1,0.0102887651658331,-0.0224976727082579,0.0247387139100955
0.1,2.22018790027154,-0.00311418977084225,5.24913457893575,-0.0111097301301097,0.0389100198098074,0.00105482276456767,8,-0.00979129710368819,1.15436883970603,2.04232531696663,1.16288863420142,2.07450138951352,0.0026005303161168,-0.00613539923823723,-0.00680678383310653,0.0389100198098074,0.021876728746492,-0.0762409143169809,0.00209439505557982,1,1,0.00180268024143964,-0.000885789470357593,0.00200855147772549
0.2,2.22018790027154,-0.00294053201657376,5.24913457893575,-0.0109674456445483,0.0389100198098074,0.00112034536944691,8,-0.00979129710368819,1.1542697857783,2.04238588835347,1.16280938061817,2.07469626336532,0.00578555414318607,-0.00381782721584115,-0.0064577183156028,0.0389100198098074,0.021876728746492,-0.0762409143169809,0.00139626337038654,1,1,0.00180268024143964,0.000113935102839173,0.00180627718264276
0.3,2.22022028506211,-0.00271369711867889,5.24830882919905,-0.0108171373029173,0.0394871039914093,0.00118087833828087,8,-0.00979129710368819,1.12919229323646,2.12107166158254,1.13716524377927,2.15342216311181,0.00518675911875917,-0.005781686844786,-0.0064577183156028,0.0394871039914093,0.021876728746492,-0.0787568120825981,0.00122173048159752,1,1,0.001803899541822,0.000362825549484876,0.00184002606947419
0.4,2.22022028506211,-0.00241958533860321,5.24830882919905,-0.0106296816353945,0.0394871039914093,0.00123568086509144,8,-0.00979129710368819,1.12908063263024,2.1211465591573,1.13713205288175,2.1537337726525,0.00518675911875917,-0.005781686844786,-0.00628318555685094,0.0394871039914093,0.021876728746492,-0.0787568120825981,0.00191986216679079,1,1,0.001803899541822,-0.000636899023711889,0.00191303265089511
0.5,2.22022028506211,-0.00219322436292961,5.24830882919905,-0.0104273097985769,0.0394871039914093,0.00128411699657925,8,-0.00979129710368819,1.13902630928851,2.12117472445131,1.14705463510119,2.15406079921016,0.00259979802367997,-0.00614223927615364,-0.00628318555685094,0.0394871039914093,0.0223518819014925,-0.0762409143169809,0.00191986216679079,1,1,0.001803899541822,-0.000636899023711889,0.00191303265089511
0.6,2.22022028506211,-0.00180784034629927,5.24830882919905,-0.0101847145626764,0.0394871039914093,0.00132574593747137,8,-0.00979129710368819,1.19376502993446,2.06879494309477,1.2022619383891,2.10265307086278,0.00518675911875917,-0.005781686844786,-0.00610865227795042,0.0394871039914093,0.0223518819014925,-0.0762409143169809,0.00157079638921273,1,1,0.001803899541822,-0.000137036830220115,0.00180909719192265
0.7,2.22022028506211,-0.00139812755599819,5.24830882919905,-0.00992680461642696,0.0394871039914093,0.00135998002056689,8,-0.00979129710368819,1.19362747668523,2.06884575784531,1.20221333124457,2.10304834630585,0.00518675911875917,-0.005781686844786,-0.00593411951919856,0.0394871039914093,0.0223518819014925,-0.0762409143169809,0.00244346096319503,1,1,0.0144405399016828,0.00482253663114765,0.0152245214115536
0.8,2.22022028506211,-0.000974018364952494,5.24830882919905,-0.0100242214409945,0.0394871039914093,0.00138657571410078,8,-0.00979129710368819,1.19352844738639,2.06885826707444,1.20247958607484,2.10331653513861,0.00521053201519652,-0.0114447972552709,-0.00575958676044669,0.0394871039914093,0.0247594999839948,-0.0594126600663289,0.000698131685193272,1,1,0.0144405399016828,0.00732184815724618,0.0161906964979849
0.9,2.22022028506211,-0.000767146783093364,5.24830882919905,-0.0102819895765545,0.0394871039914093,0.00140519987210131,8,-0.00979129710368819,1.14371064844674,2.16502698044447,1.15236551297015,2.19859349161863,0.00202182834968852,-0.0137571354310013,-0.00558505348154618,0.0394871039914093,0.0247594999839948,-0.0594126600663289,0.000698131685193272,1,1,0.0144405399016828,0.00732184815724618,0.0161906964979849
